Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-23 00:00:00+05:30,506.9652025324525,531.0686677596742,504.34200600848834,527.7030639648438,140782,0.0,0.0
2019-08-26 00:00:00+05:30,535.5231537201227,545.4219181142099,523.5951547087001,538.7897338867188,224705,0.0,0.0
2019-08-27 00:00:00+05:30,540.4725343988127,553.340928074975,539.2846705914067,549.9258422851562,145937,0.0,0.0
2019-08-28 00:00:00+05:30,550.7672248996414,554.1822499708101,529.6333285924142,534.4342651367188,107110,0.0,0.0
2019-08-29 00:00:00+05:30,534.4342880340578,538.6907444348227,519.4376365332263,522.8527221679688,99502,0.0,0.0
2019-08-30 00:00:00+05:30,528.5939997908949,528.5939997908949,513.8448172028587,523.545654296875,88183,0.0,0.0
2019-09-03 00:00:00+05:30,513.7458350652574,516.319489455521,508.30151504048115,510.33074951171875,74076,0.0,0.0
2019-09-04 00:00:00+05:30,512.7559544282898,514.1912872335968,498.4027472097373,500.5309753417969,111787,0.0,0.0
2019-09-05 00:00:00+05:30,514.7357246866451,514.7357246866451,503.0056833804253,511.71661376953125,68749,0.0,0.0
2019-09-06 00:00:00+05:30,512.7559697760314,525.327412006502,510.08329144085104,523.694091796875,101019,0.0,0.0
2019-09-09 00:00:00+05:30,513.7458631598263,531.0687005496085,513.7458631598263,527.4556274414062,134121,0.0,0.0
2019-09-11 00:00:00+05:30,529.5838550121047,543.194655024098,529.4848915425572,540.0270385742188,95782,0.0,0.0
2019-09-12 00:00:00+05:30,540.8684699704885,546.4117534472529,534.7807061591999,536.3150024414062,192161,0.0,0.0
2019-09-13 00:00:00+05:30,537.2059482981119,546.6592560798705,537.2059482981119,545.5208740234375,114582,0.0,0.0
2019-09-16 00:00:00+05:30,539.4826274541491,544.4320093573982,530.4747765571396,531.6130981445312,101423,0.0,0.0
2019-09-17 00:00:00+05:30,537.5028500605384,537.5028500605384,514.7356943489502,516.8639526367188,126220,0.0,0.0
2019-09-18 00:00:00+05:30,518.0023294902345,525.8718592796126,513.05294728525,521.912353515625,221229,0.0,0.0
2019-09-19 00:00:00+05:30,524.6344748619892,524.6344748619892,508.00456396868356,514.0427856445312,142594,0.0,0.0
2019-09-20 00:00:00+05:30,518.8437417842283,567.1991799956627,513.7458541321971,563.0416870117188,594412,0.0,0.0
2019-09-23 00:00:00+05:30,567.6941185893506,595.8066326741932,546.312812396133,559.3296508789062,428859,0.0,0.0
2019-09-24 00:00:00+05:30,559.8245706999438,569.5253470724681,548.7874853906939,552.6974487304688,326898,0.0,0.0
2019-09-25 00:00:00+05:30,554.4297352290878,554.4297352290878,523.05070237587,529.5838623046875,174408,0.0,0.0
2019-09-26 00:00:00+05:30,533.1474090953305,563.7840960014084,531.4646675358127,561.35888671875,207734,0.0,0.0
2019-09-27 00:00:00+05:30,559.0821782292471,562.2497947903915,543.9865631402445,549.5299072265625,149763,0.0,0.0
2019-09-30 00:00:00+05:30,559.2801442849903,559.2801442849903,535.0281734266146,541.7098388671875,130380,0.0,0.0
2019-10-01 00:00:00+05:30,547.40161825414,560.2700107266605,531.5635967494994,550.9651489257812,837088,0.0,0.0
2019-10-03 00:00:00+05:30,554.3307828706276,559.1316592339422,541.5118714332922,556.9539794921875,148852,0.0,0.0
2019-10-04 00:00:00+05:30,563.239690860573,569.277912940152,550.0743463738223,558.1913452148438,164551,0.0,0.0
2019-10-07 00:00:00+05:30,557.9933405959725,557.9933405959725,541.4623925782307,547.0056762695312,903477,0.0,0.0
2019-10-09 00:00:00+05:30,551.3611464439101,572.9404395534154,546.3622827831219,570.2677612304688,435011,0.0,0.0
2019-10-10 00:00:00+05:30,572.2475132737563,572.2475132737563,554.1327875347484,560.814453125,123325,0.0,0.0
2019-10-11 00:00:00+05:30,564.2295641524972,569.6738845083546,548.6884921441426,554.1328125,131650,0.0,0.0
2019-10-14 00:00:00+05:30,556.3105541755992,566.1598367466802,549.3814191591771,562.7447509765625,76083,0.0,0.0
2019-10-15 00:00:00+05:30,564.2295308269314,587.1451929563674,559.7750871625083,578.6817016601562,511135,0.0,0.0
2019-10-16 00:00:00+05:30,579.0776804842352,581.0574332380274,569.7233366391149,578.186767578125,143246,0.0,0.0
2019-10-17 00:00:00+05:30,577.8898221754671,590.1643135311525,572.8909585086493,587.1452026367188,107108,0.0,0.0
2019-10-18 00:00:00+05:30,583.779595178758,589.2239152694458,578.0878059930388,586.7987060546875,96311,0.0,0.0
2019-10-22 00:00:00+05:30,588.9764807792887,594.7672337763479,581.1564327499358,591.451171875,129982,0.0,0.0
2019-10-23 00:00:00+05:30,588.9764800612476,593.6289113989656,581.1564320414284,585.7098999023438,65481,0.0,0.0
2019-10-24 00:00:00+05:30,585.9078586420358,588.9764512801206,573.1384290608232,575.1676635742188,71435,0.0,0.0
2019-10-25 00:00:00+05:30,579.0777051837341,579.0777051837341,565.0214479488133,572.3465576171875,67827,0.0,0.0
2019-10-27 00:00:00+05:30,578.0878006078225,589.3724154030294,574.5737515745657,585.264404296875,71107,0.0,0.0
2019-10-29 00:00:00+05:30,588.0855531182284,611.4466727281698,587.4916514370079,604.9134521484375,195892,0.0,0.0
2019-10-30 00:00:00+05:30,605.8043559524319,611.8425778170797,598.924702898605,610.456787109375,117525,0.0,0.0
2019-10-31 00:00:00+05:30,610.7537270116175,614.7132325351936,597.8853340599951,599.9640502929688,114972,0.0,0.0
2019-11-01 00:00:00+05:30,607.7840977018432,607.7840977018432,575.1181771413206,583.086669921875,216197,0.0,0.0
2019-11-04 00:00:00+05:30,585.0169258201967,600.3600093230953,576.2070020935646,580.5130004882812,96611,0.0,0.0
2019-11-05 00:00:00+05:30,586.0068123653017,586.0068123653017,571.1586667817214,574.1282958984375,89531,0.0,0.0
2019-11-06 00:00:00+05:30,584.0270529143103,584.0270529143103,571.356647578604,573.4353637695312,129098,0.0,0.0
2019-11-07 00:00:00+05:30,574.1283172616543,577.3454155911377,566.5557385653503,574.5242919921875,134327,0.0,0.0
2019-11-08 00:00:00+05:30,574.1282958984375,590.3622925700555,571.1586667817214,574.1282958984375,328129,0.0,0.0
2019-11-11 00:00:00+05:30,574.4747519446396,581.007972518829,564.4275426060723,569.1294555664062,118871,0.0,0.0
2019-11-13 00:00:00+05:30,569.178944399711,574.9202155815078,566.3578207552434,568.98095703125,71669,0.0,0.0
2019-11-14 00:00:00+05:30,569.17890094941,574.1282826967962,562.0022974157,572.742431640625,60591,0.0,0.0
2019-11-15 00:00:00+05:30,577.5928604529164,584.7694641174985,573.6828367177268,576.6524658203125,83905,0.0,0.0
2019-11-18 00:00:00+05:30,581.0574195808738,581.0574195808738,566.2092742764222,567.34765625,59138,0.0,0.0
2019-11-19 00:00:00+05:30,567.3476797025841,569.574901590319,554.1327935850005,554.9246826171875,100258,0.0,0.0
2019-11-20 00:00:00+05:30,555.3206472645164,562.7447200889083,551.6086108523205,554.7267456054688,102077,0.0,0.0
2019-11-21 00:00:00+05:30,557.300423439714,557.300423439714,544.8774864749099,546.0158081054688,105837,0.0,0.0
2019-11-22 00:00:00+05:30,550.8662005231201,551.0641878807941,533.9393387440302,540.37353515625,101314,0.0,0.0
2019-11-25 00:00:00+05:30,543.4421183918231,547.154154719636,540.9674275066144,542.2047729492188,66437,0.0,0.0
2019-11-26 00:00:00+05:30,552.3510260502047,552.3510260502047,531.5636218440143,533.1473999023438,80991,0.0,0.0
2019-11-27 00:00:00+05:30,538.4927590571007,548.7874977353906,529.831340598002,534.3352661132812,211562,0.0,0.0
2019-11-28 00:00:00+05:30,534.6817751732158,537.9483552925234,531.0687020547733,536.0675659179688,93344,0.0,0.0
2019-11-29 00:00:00+05:30,536.1665621498175,538.0472910100824,523.0011580416674,524.6839599609375,108607,0.0,0.0
2019-12-02 00:00:00+05:30,522.6052218524579,532.0585287448453,518.6457165222638,528.8414306640625,151637,0.0,0.0
2019-12-03 00:00:00+05:30,531.5635982038608,531.5635982038608,516.7649347365216,517.5568237304688,92590,0.0,0.0
2019-12-04 00:00:00+05:30,519.5861372523518,523.6446062530043,514.1912988851969,520.4769897460938,95643,0.0,0.0
2019-12-05 00:00:00+05:30,522.6547273859849,525.6243565188598,516.913456479212,519.2891235351562,75601,0.0,0.0
